Bulan;Ekspor;Tahun
Januari;38,6;2020
Februari;35,7;2020
Maret;34;2020
April;23,4;2020
Mei;21,4;2020
Juni;25,1;2020
Juli;32,7;2020
Agustus;31,2;2020
September;35,2;2020
Oktober;41,7;2020
November;34,7;2020
Desember;45,5;2020
Januari;39;2021
Februari;46,3;2021
Maret;47,2;2021
April;44,1;2021
Mei;39,3;2021
Juni;42,7;2021
Juli;40,5;2021
Agustus;43,9;2021
September;45,7;2021
Oktober;48,7;2021
November;55,7;2021
Desember;64;2021
Januari;51,8;2022
Februari;47,2;2022
Maret;61,3;2022
April;56,4;2022
Mei;35,7;2022
Juni;54,8;2022
Juli;47,3;2022
Agustus;46,9;2022
September;44,6;2022
Oktober;39,4;2022
November;42,8;2022
Desember;54,8;2022
Januari;36,8;2023
Februari;40,1;2023
Maret;41,6;2023
April;31,4;2023
Mei;41,5;2023
Juni;41,2;2023
Juli;37,4;2023
Agustus;40,1;2023
September;37,1;2023
